Title,Subtitle,Author,Publisher,Publication Date,Original Price,Discounted Price,Sales Index,Rating,Review Count,Tags,Image URL,URL
한 걸음 앞선 일잘러가 지금 꼭 알아야 할 바이브 코딩 with 커서,"웹 명함 제작부터 사내 스터디 관리 플랫폼까지 커서, n8n, MCP로 완성하는 나의 첫 바이브 코딩 올인원 실습서",김태헌,길벗,2026년 02월,30000,27000,828,10.0,1,,https://image.yes24.com/goods/176548558/L,https://www.yes24.com/product/goods/176548558
밑바닥부터 시작하는 딥러닝 2,파이썬으로 직접 구현하며 배우는 순환 신경망과 자연어 처리,사이토 고키,한빛미디어,2019년 05월,29000,26100,4887,9.9,45,"#분철, #컴공, #개발자, #자연어처리, #순환신경망",https://image.yes24.com/goods/72173703/L,https://www.yes24.com/product/goods/72173703
리더는 AI에게 질문하지 않는다,새로운 가치를 만드는 리더를 위한 프롬프트 설계와 큐레이션 기술,김희연,북피움,2026년 01월,23000,20700,2115,,0,,https://image.yes24.com/goods/168871803/L,https://www.yes24.com/product/goods/168871803
요즘 우아한 AI 개발,"머신러닝에서 GPT, LLM, 생성형 AI, MLOps까지, 배달의민족 실제 프로젝트로 엿보는 AI 활용 이야기",우아한형제들,골든래빗,2025년 04월,24000,21600,9900,9.7,14,#크레마클럽에있어요,https://image.yes24.com/goods/143753715/L,https://www.yes24.com/product/goods/143753715
나노바나나로 AI툰 제작하기,,김한재,비엘북스,2026년 02월,32000,28800,1101,10.0,2,,https://image.yes24.com/goods/177114666/L,https://www.yes24.com/product/goods/177114666
한 권으로 끝내는 실전 LLM 파인튜닝,GPT 원리부터 Gemma 2 · Llama 3 · Whisper · Qwen2-VL 파인튜닝 및 vLLM 서빙까지,강다솔,위키북스,2026년 02월,32000,28800,684,,0,,https://image.yes24.com/goods/176913080/L,https://www.yes24.com/product/goods/176913080
소프트웨어 아키텍처 The Basics,모던 엔지니어링을 위한 소프트웨어 아키텍처의 모든 것,마크 리처즈,한빛미디어,2025년 11월,43000,38700,1614,9.9,15,,https://image.yes24.com/goods/167431026/L,https://www.yes24.com/product/goods/167431026
벡터 데이터베이스 설계와 구축,Vector DBMS & RAG,송한림,아이리포,2025년 03월,17800,16020,5319,9.7,6,,https://image.yes24.com/goods/142771026/L,https://www.yes24.com/product/goods/142771026
AI 영화 제작,"제작비 부담 No, 3일 만에 완성! 광고, 게임부터 3D 애니메이션까지",민지영,길벗,2024년 11월,27000,24300,5238,9.7,84,#분철,https://image.yes24.com/goods/136304038/L,https://www.yes24.com/product/goods/136304038
팔리는 블로그 & SNS 글쓰기 with 챗GPT,"콘텐츠 아이디어부터 이미지까지, 하루 30분으로 1일 1 포스팅 가능한 AI 활용법",홍순성,한빛미디어,2025년 12월,25000,22500,1848,10.0,12,,https://image.yes24.com/goods/167694445/L,https://www.yes24.com/product/goods/167694445
무조건 도움되는 유아교사 업무경감,에듀테크 & AI 활용,김나영,교육과실천,2026년 01월,25500,22950,1968,10.0,7,,https://image.yes24.com/goods/174197933/L,https://www.yes24.com/product/goods/174197933
금융업 AI 플레이북,"AI 시대, 금융 현장의 실전 가이드",임태중,경향비피,2026년 01월,25000,22500,1233,,0,,https://image.yes24.com/goods/175301361/L,https://www.yes24.com/product/goods/175301361
AI와 함께라서,XYZ세대 공감 프로젝트 2,최원설,지식터,2026년 01월,18000,18000,540,,0,,https://image.yes24.com/goods/177220266/L,https://www.yes24.com/product/goods/177220266
요즘 바이브 코딩 깃허브 코파일럿 31가지 프로그램 만들기,"인공지능 코딩, AI 포트폴리오, 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 크롤링, QR 코드 생성기, 노션 스타일 게시판, 대시보드 만들기, 블로그 만들기",박현규,골든래빗,2025년 12월,24000,21600,2574,10.0,4,#크레마클럽에있어요,https://image.yes24.com/goods/167428992/L,https://www.yes24.com/product/goods/167428992
나는 오렌지3로 인공지능한다,Orange3로 데이터 분석․인공지능,장병철,씨마스,2025년 12월,23000,20700,2604,9.9,30,,https://image.yes24.com/goods/167452848/L,https://www.yes24.com/product/goods/167452848
출근길에 읽고 퇴근길에 완성하는 바이브 코딩,"IT 지식부터 웹사이트, 챗봇 앱 개발까지",노승헌,더 타이즈,2026년 02월,22000,19800,942,,0,,https://image.yes24.com/goods/175226781/L,https://www.yes24.com/product/goods/175226781
Do it! 커서로 시작하는 AI 코딩 입문,"웹 앱 제작, 데이터베이스 연동, 프롬프트 작성법, MCP 연결, 바이브 코딩, 서비스 배포, 깃허브 활용",고경희,이지스퍼블리싱,2025년 09월,23000,20700,4212,9.9,18,,https://image.yes24.com/goods/154286556/L,https://www.yes24.com/product/goods/154286556
AI 자율학습 밑바닥부터 배우는 AI 에이전트,프레임워크 없이 5가지 워크플로 패턴으로 배우는 에이전트 설계 원리,다비드스튜디오,길벗,2025년 12월,24000,21600,1779,9.5,17,,https://image.yes24.com/goods/167584729/L,https://www.yes24.com/product/goods/167584729
"2022 개정 교육과정 평가, AI로 날개를 달다 (개념기반 교육과정)","백워드 설계, 루브릭, 성장중심평가, AI코스웨어, 사회정서학습, IB교육, 평가와 피드백 지원 플랫폼",지미정,앤써북,2024년 09월,21000,18900,17721,9.9,18,,https://image.yes24.com/goods/130156178/L,https://www.yes24.com/product/goods/130156178
프롬프트를 만드는 프롬프트 GPTs & Gems,,민진홍,성안당,2025년 12월,27000,24300,2316,10.0,43,,https://image.yes24.com/goods/169672758/L,https://www.yes24.com/product/goods/169672758
이게 되네? 업무 자동화 미친 활용 앱스 스크립트 with 챗GPT,"업무부터 일상까지, 3일 작업 한 방에 처리하는 45가지 미친 자동화 치트키",서휘승,골든래빗,2024년 11월,32000,28800,3480,10.0,3,"#크레마클럽에있어요, #챗GPT업무활용, #업무능력향상, #일잘러업무스킬",https://image.yes24.com/goods/135722461/L,https://www.yes24.com/product/goods/135722461
AI 영상 제작,속지 않을 자신 있나요? 숏폼부터 딥페이크까지,민지영,길벗,2024년 06월,25000,22500,9792,9.7,94,#분철,https://image.yes24.com/goods/127102247/L,https://www.yes24.com/product/goods/127102247
"요즘 바이브 코딩 v0 + 커서 입문 PRD 기획·개발·배포, 일주일 완성","인공지능 코딩, vercel, 기획, PRD, 설계, 인증, 배포, QR·바코드 생성 앱, 챗GPT, DeepL 번역 클론 앱, API, 리팩터링, 수파베이스 연동",김동학,골든래빗,2026년 01월,28000,25200,1974,10.0,5,,https://image.yes24.com/goods/168451090/L,https://www.yes24.com/product/goods/168451090
교실로 온 ON 제미나이,"현장에서 바로 쓰는 인공지능 50가지 활용 가이드 바이브코딩, 라이브, 가이드학습, 스토리북",박찬,다빈치books,2026년 03월,22000,19800,300,10.0,10,,https://image.yes24.com/goods/177808924/L,https://www.yes24.com/product/goods/177808924
혁펜하임의 Easy! 딥러닝,,혁펜하임,북엔드,2024년 11월,35000,31500,5136,9.9,31,#분철,https://image.yes24.com/goods/139734696/L,https://www.yes24.com/product/goods/139734696
LUVIT♥ 파이썬으로 만드는 초경량 한국어 LLM 챗봇,구글 코랩으로 실습하는 데이터 분석 + 챗봇 + LLM,김규석,제이펍,2026년 01월,28000,25200,1560,10.0,1,,https://image.yes24.com/goods/170374556/L,https://www.yes24.com/product/goods/170374556
테디노트의 랭체인을 활용한 RAG 비법노트 : 기본편,8단계 RAG 파이프라인으로 LLM 성능을 끌어올리는 RAG 기본부터 실제 챗봇 제작까지,이경록,리코멘드,2025년 05월,34000,30600,7296,10.0,1,#분철,https://image.yes24.com/goods/146874665/L,https://www.yes24.com/product/goods/146874665
AI 로봇 구조 교과서,"엔비디아 · Figure AI · 테슬라, AI 산업의 패권을 결정할 로봇 메커니즘 해설",유승남,보누스,2026년 01월,23000,20700,1392,10.0,15,#크레마클럽에있어요,https://image.yes24.com/goods/172059324/L,https://www.yes24.com/product/goods/172059324
밑바닥부터 시작하는 딥러닝 5,10단계로 익히는 이미지 생성 모델의 원리,사이토 고키,한빛미디어,2024년 10월,33000,29700,3444,9.7,20,"#머신러닝, #기계학습, #신경망, #파이썬, #생성형AI",https://image.yes24.com/goods/134648807/L,https://www.yes24.com/product/goods/134648807
소라 2 AI,매일매일 쓰는 챗GPT 영상 생성 AI,박범희,생능북스,2026년 02월,25000,22500,840,10.0,13,,https://image.yes24.com/goods/175460151/L,https://www.yes24.com/product/goods/175460151
AI 자율학습  커서ⅹAI로 완성하는 나만의 웹 서비스,Cursor와 Gemini API로  기획부터 개발ㆍ배포까지 배우는 실무형 바이브 코딩,성구(강성규),길벗,2025년 12월,24000,21600,2298,9.9,23,,https://image.yes24.com/goods/167584726/L,https://www.yes24.com/product/goods/167584726
AI 지도책,세계의 부와 권력을 재편하는 인공지능의 실체,케이트 크로퍼드,소소의책,2022년 11월,21000,18900,1818,9.5,60,"#국립중앙도서관사서추천, #기술혁신, #인공지능",https://image.yes24.com/goods/115782215/L,https://www.yes24.com/product/goods/115782215
김변호사의 스마트한 AI 활용법 2,개업 변호사를 위한 업무 혁신 가이드,김변호사 팀,박영사,2026년 01월,24000,24000,930,10.0,2,,https://image.yes24.com/goods/168261519/L,https://www.yes24.com/product/goods/168261519
일반통계학,,서울대학교 자연과학대학 통계학과,한빛아카데미,2025년 03월,35000,35000,2622,,0,,https://image.yes24.com/goods/143081338/L,https://www.yes24.com/product/goods/143081338
밑바닥부터 시작하는 딥러닝 4,직접 구현하며 익히는 강화 학습 알고리즘,사이토 고키,한빛미디어,2024년 01월,30000,27000,3594,9.8,13,,https://image.yes24.com/goods/124640233/L,https://www.yes24.com/product/goods/124640233
AI로 완성하는 고수익 유튜브 운영 비법,,현승효(디스이즈머니),시대인,2026년 01월,18000,16200,756,10.0,2,,https://image.yes24.com/goods/174682706/L,https://www.yes24.com/product/goods/174682706
챗GPT와 함께 하는 SNS 셀프마케팅 & 브랜딩,블로그 인스타그램 유튜브 월 천만 원 계정 기획과 전략 with AI,이보영,휴먼하우스,2025년 11월,21000,18900,1914,10.0,1,,https://image.yes24.com/goods/164773674/L,https://www.yes24.com/product/goods/164773674
"요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!","체듀테크(체육+에듀테크), 체육수업설계, 학생성장기록, 시범부담해소, 교실/체육관 대안수업, 체육수업데이터화, 자기주도적 신체활동, AI기반체육수업",임우균,앤써북,2026년 02월,16800,15120,816,10.0,9,,https://image.yes24.com/goods/176901915/L,https://www.yes24.com/product/goods/176901915
네이버 블로그 AI 자동화 마케팅 with 챗GPT+Zapier+Make,,조영빈,디지털북스,2025년 04월,20000,18000,5442,9.8,10,,https://image.yes24.com/goods/145343581/L,https://www.yes24.com/product/goods/145343581
"AI로 차트, 그래프, 인포그래픽 한 번에 끝내기","보고서ㆍ제안서ㆍ기획서, 단번에 OK 받는 실전 업무 시각화",이현,천그루숲,2026년 01월,18000,16200,972,10.0,6,#크레마클럽에있어요,https://image.yes24.com/goods/175523653/L,https://www.yes24.com/product/goods/175523653
러닝 랭체인,"랭체인과 랭그래프로 구현하는 RAG, 에이전트, 인지 아키텍처",메이오 오신,한빛미디어,2025년 05월,28000,25200,4152,9.5,26,,https://image.yes24.com/goods/146327472/L,https://www.yes24.com/product/goods/146327472
된다! 하루 만에 만드는 AI 사진 & 이미지,"챗GPT부터 미드저니까지 다 통한다! 광고 사진, 카드 뉴스, 섬네일, AI 인물 모델 등 인스타그램, 유튜브, 블로그 어디든 활용 가능!",김원석,이지스퍼블리싱,2025년 08월,17800,16020,4062,10.0,40,"#AI이미지, #AI사진",https://image.yes24.com/goods/151780100/L,https://www.yes24.com/product/goods/151780100
AI 프로덕트 기획과 운영,,마릴리 니카,한빛미디어,2025년 09월,22000,19800,2130,9.8,8,"#UX, #생성형AI",https://image.yes24.com/goods/154918142/L,https://www.yes24.com/product/goods/154918142
AI를 위한 필수 수학,"AI 시스템에 쓰이는 통계학, 선형 대수학, 미적분학",할라 넬슨,한빛미디어,2024년 08월,45000,40500,2880,9.5,12,,https://image.yes24.com/goods/130156635/L,https://www.yes24.com/product/goods/130156635
생성형 AI를 위한 프롬프트 엔지니어링,"랭체인, 스테이블 디퓨전, 미드저니, 챗GPT를 다루는 가장 실용적인 방법",제임스 피닉스,한빛미디어,2025년 06월,38000,34200,5439,10.0,9,,https://image.yes24.com/goods/147735087/L,https://www.yes24.com/product/goods/147735087
현직교사가 만든 가장 쉬운 미리캔버스 수업 활용! MiriCanvas(미리캔버스)로 무엇이든 만들 수 있다,교사를 위한 미리캔버스 수업 활용,김동은,광문각출판미디어,2025년 12월,21000,21000,1428,9.8,27,,https://image.yes24.com/goods/170378306/L,https://www.yes24.com/product/goods/170378306
요즘 교사를 위한 AI 디지털 수업 설계 가이드 with 2022 개정 교육과정,깊이 있는 학습을 위한 디지털 기반 아날로그 수업,김진관,한빛미디어,2025년 08월,22000,19800,9156,9.9,33,,https://image.yes24.com/goods/151350143/L,https://www.yes24.com/product/goods/151350143
알아서 잘하는 에이전틱 AI 시스템 구축하기,"추론, 계획, 적응 가능한 지능형 자율 에이전트 설계 가이드",안자나바 비스와스,제이펍,2025년 09월,28000,25200,3048,10.0,3,,https://image.yes24.com/goods/151381888/L,https://www.yes24.com/product/goods/151381888
모방하는 기계들의 시대,거의 모든 인공지능의 역사,김태훈,좋은습관연구소,2026년 01월,20000,18000,660,,0,#크레마클럽에있어요,https://image.yes24.com/goods/172734590/L,https://www.yes24.com/product/goods/172734590
린 분석,성공을 예측하는 31가지 사례와 13가지 패턴,앨리스테어 크롤,한빛미디어,2014년 01월,28000,25200,1986,9.3,10,"#월간개발자_추천도서, #스타트업, #스타트업필독서",https://image.yes24.com/goods/11775117/L,https://www.yes24.com/product/goods/11775117
